"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TM4SF4",1.6951772318631e-49,-1.00253613024471,0.019,0.205,3.61479592922488e-45
"TGFBR2",1.78914285755871e-49,-1.09837771832782,0.072,0.296,3.81516822945819e-45
"DDT",3.31943974102832e-49,-1.66961654495873,0.362,0.568,7.07837330376879e-45
"COTL1",3.53903181175261e-49,1.37690781630032,0.281,0.065,7.54663143538127e-45
"FILIP1L",3.93958838631385e-49,-1.19346682213395,0.037,0.237,8.40077827497564e-45
"HLA-DQB1",8.19066228402236e-49,2.17228290064503,0.266,0.055,1.74657682544493e-44
"COL3A1",2.11141968152544e-48,-1.30565888501728,0.007,0.177,4.50239132888485e-44
"GDF15",4.95799781049624e-48,-1.65969948309341,0.012,0.186,1.05724345311022e-43
"SAT2",5.92154852089588e-48,-1.02500793153712,0.228,0.458,1.26271100659584e-43
"MGST1",1.56234867844504e-47,-1.76796932308905,0.053,0.255,3.3315523219162e-43
"FOSB",4.1931226516436e-47,-1.26200023004726,0.477,0.661,8.94141474236481e-43
"CTNNB1",4.81941135596988e-47,-1.06940710102914,0.155,0.407,1.02769127754702e-42
"CD7",9.25686408045559e-47,1.05169000866922,0.197,0.019,1.97393369651635e-42
"AIF1",1.69316795558934e-46,2.01372512054349,0.192,0.018,3.6105113484987e-42
"STC1",2.29248358611075e-46,-1.38406761181632,0.016,0.192,4.88849199902257e-42
"CRP",2.42175063010415e-46,-2.34983117785603,0.013,0.183,5.1641410436341e-42
"ATP5G1",8.1973503566093e-46,-1.18479469578427,0.347,0.554,1.74800299004337e-41
"PEBP1",2.12821358911885e-45,-1.06790477147201,0.431,0.615,4.53820265743703e-41
"DEFB1",2.34109680004412e-45,-1.26404995398924,0.006,0.166,4.99215481641408e-41
"P4HB",1.55046141745784e-44,-1.57398591020652,0.503,0.642,3.30620392658709e-40
"C3",1.85013311800355e-44,-1.32074909095437,0.064,0.262,3.94522386083077e-40
"JUN",3.1487664912058e-44,-1.32750749237364,0.795,0.852,6.71442966584725e-40
"CLEC2D",4.66408766761084e-44,1.06278984268444,0.267,0.063,9.94570054241335e-40
"CD83",1.07205508188931e-43,1.00004084163065,0.222,0.036,2.28605025662076e-39
"SERPINE1",3.01424938316764e-43,-1.0194296002637,0.003,0.151,6.42758538466667e-39
"ANGPTL8",3.73497968432555e-43,-2.12843260946935,0.01,0.166,7.9644706788558e-39
"CTSD",2.24556497806773e-42,-1.65552236905013,0.35,0.57,4.78844275923163e-38
"FGL1",6.76387386544369e-42,-1.7325142367511,0.057,0.239,1.44232846306721e-37
"IER2",7.93617711988504e-42,-1.20034153888372,0.576,0.706,1.69231040904429e-37
"CKB",9.11663162383663e-42,-1.10978784374901,0.033,0.206,1.94403052746692e-37
"FCER1G",1.44040107607322e-41,1.82272207098826,0.19,0.025,3.07151125461854e-37
"BNIP3",2.45740170816819e-41,-1.80685911428393,0.105,0.305,5.24016340249785e-37
"TYROBP",2.78335132039824e-41,2.62711014920967,0.222,0.044,5.93521835561722e-37
"ZNF331",6.52206877665471e-41,1.00045608674575,0.329,0.112,1.39076594593385e-36
"FGB",4.01300217763358e-40,-1.32827492723884,0.04,0.213,8.55732584358584e-36
"ASGR1",4.83400150922535e-40,-1.20274818986358,0.041,0.216,1.03080248182721e-35
"NKG7",9.98628336233211e-40,1.64872531723263,0.2,0.032,2.1294750641837e-35
"CREM",1.15351685100001e-39,1.3546700597958,0.586,0.341,2.45975933307242e-35
"ORM1",1.42268650724926e-39,-3.70148882085684,0.07,0.25,3.03373670805832e-35
"CCDC85B",1.60093936147698e-38,-1.05647275195568,0.341,0.532,3.4138430944135e-34
"TTR",3.93814774186707e-38,-1.54397627084091,0.093,0.285,8.39770624475734e-34
"DUSP2",1.06314241137206e-37,1.15195598404571,0.183,0.027,2.26704487800978e-33
"SERTAD1",1.36970939887929e-37,-1.04827740995206,0.2,0.413,2.92076832217021e-33
"REL",1.40923719798787e-37,1.21162621347588,0.344,0.14,3.00505740098933e-33
"HLA-DRA",1.6121136636871e-37,3.57589171445585,0.406,0.189,3.43767117644638e-33
"MS4A6A",2.80543999304537e-37,1.2683031058525,0.15,0.011,5.98232024116996e-33
"VWF",2.82304170507063e-37,-1.51911342884869,0.024,0.177,6.0198541318926e-33
"CCL4",5.86133456567646e-37,2.06456225228932,0.189,0.032,1.24987098278485e-32
"VTN",9.7994513217502e-37,-1.78141244669512,0.081,0.256,2.08963499985001e-32
"APCS",9.094580523905e-36,-1.38295817698962,0.027,0.175,1.9393283509175e-31
"AHSG",1.22826781810205e-35,-2.32036600982371,0.054,0.219,2.6191582953208e-31
"FGA",1.43507236807241e-35,-1.02009247856011,0.033,0.185,3.06014831767762e-31
"IGHM",1.4712840986129e-35,1.96227824020934,0.251,0.068,3.13736621188215e-31
"HLA-DRB5",1.85989024828449e-35,1.58036443628741,0.281,0.091,3.96602996544184e-31
"MYH11",3.54064868247758e-35,-1.23867000341301,0.01,0.14,7.55007925051519e-31
"CHCHD10",3.58247349263877e-35,-1.66160800553265,0.238,0.413,7.63926647570291e-31
"AMBP",7.14400428797629e-35,-2.64509539900121,0.223,0.388,1.52338747436806e-30
"ORM2",7.75416169080537e-35,-1.41419794610135,0.024,0.167,1.65349743894734e-30
"HLA-DRB1",8.80415674443024e-35,2.75422181070232,0.444,0.237,1.8773983841823e-30
"JUNB",1.48561945853672e-30,-1.51649084015129,0.777,0.786,3.1679349333837e-26
"IL1B",1.73082021891095e-29,1.71339105797348,0.114,0.006,3.69080103480571e-25
"ATF3",8.14657211520936e-29,-1.24464865272708,0.323,0.496,1.73717503784724e-24
"DDIT3",2.00371800813949e-28,-1.02244888956492,0.2,0.373,4.27272828055664e-24
"PTP4A3",2.64436358306588e-26,-1.60445511196837,0.171,0.32,5.63884090452968e-22
"HILPDA",2.67022781160508e-26,-1.20966978636074,0.032,0.153,5.69399378546668e-22
"C1QA",1.06630189361312e-25,2.48346400587949,0.143,0.028,2.27378215794061e-21
"COL1A1",1.30236604131389e-25,-1.1335021622314,0.016,0.122,2.77716534649774e-21
"PLAUR",7.55859568868675e-25,1.38036030836962,0.225,0.085,1.61179494465556e-20
"CCL3",1.78364069064192e-24,2.53854592774639,0.158,0.039,3.80343540872483e-20
"APOH",4.35273861122684e-24,-1.51715225567916,0.068,0.197,9.28177981458011e-20
"C1QC",1.04136976303088e-23,1.9145792930125,0.115,0.016,2.22061688268704e-19
"IFNG",1.64420481985251e-23,1.19898953452465,0.104,0.011,3.5061023578535e-19
"SOCS3",2.08894912742536e-22,-1.22536446605905,0.394,0.49,4.45447511932184e-18
"DNASE1L3",2.2465956367403e-22,-1.48940370597265,0.042,0.155,4.79064053578501e-18
"FGG",2.31234255093444e-22,-1.41513361467762,0.059,0.179,4.9308392556126e-18
"C1QB",8.07674496708175e-22,2.58422959382594,0.141,0.034,1.72228509678051e-17
"VIM",1.88673919133124e-21,-1.23249752422941,0.727,0.644,4.02328265159474e-17
"IL32",1.46363854313067e-20,1.59535503238239,0.534,0.422,3.12106282937183e-16
"SH3BGRL3",3.48784633104011e-20,1.17509428274371,0.726,0.663,7.43748351630994e-16
"CSTB",5.51808082436421e-17,-1.52982543122085,0.508,0.588,1.17667555498742e-12
"MTRNR2L10",4.33901935288235e-16,-1.33981789588519,0.435,0.505,9.25252486808632e-12
"IGHA2",8.61962861193837e-16,1.23099954478849,0.106,0.025,1.83804960520974e-11
"HP",1.3535738991815e-14,-2.06452129827716,0.057,0.149,2.88636098261463e-10
"HBA2",1.09747761513006e-13,1.1763770826626,0.102,0.206,2.34026126650334e-09
"CCL20",1.7033061229393e-13,-1.23945014385541,0.072,0.165,3.63212997655575e-09
"SERPINA1",2.54756809625483e-13,-3.45421514918178,0.319,0.374,5.43243420845379e-09
"GNLY",2.49903181877267e-12,1.10978108359544,0.105,0.033,5.32893545035084e-08
"MTRNR2L8",4.88728220302776e-11,-1.43480797106277,0.654,0.593,1.04216405697364e-06
"PECAM1",3.355813245487e-10,-1.09187416137125,0.268,0.321,7.15593616467649e-06
"ZFP36",3.46080123361108e-09,-1.10500851079805,0.644,0.629,7.37981255055227e-05
"LYZ",1.10705591556516e-08,1.14524312431484,0.229,0.143,0.000236068603435114
"MTRNR2L12",2.09629402902907e-06,-1.23840441267874,0.628,0.565,0.044701373875016
